name,tcga code,MedianExpression,VarianceExpression
TRIM15,ESCA,2.22955840723334,1.89933037510792
TRIM15,UVM,0,1.89933037510792
TRIM15,LUAD,0.137503523749935,1.89933037510792
TRIM15,SKCM,0,1.89933037510792
TRIM15,CESC,0.150559676575381,1.89933037510792
TRIM15,SARC,0,1.89933037510792
TRIM2,TGCT,3.44847738152107,2.62796933994629
TRIM2,KIRP,3.18330099125976,2.62796933994629
TRIM2,PRAD,1.68257329734758,2.62796933994629
TRIM2,KIRC,1.70043971814109,2.62796933994629
TRIM2,LUAD,2.87970576628229,2.62796933994629
TRIM2,CESC,1.83187724119167,2.62796933994629
TRIM2,SKCM,5.10517519226548,2.62796933994629
TRIM2,DLBC,0.55581615506164,2.62796933994629
TRIM2,UCS,2.63871158840182,2.62796933994629
TRIM2,LGG,3.35191096110308,2.62796933994629
TRIM2,KICH,2.02502879449152,2.62796933994629
TRIM2,LIHC,2.48026512205446,2.62796933994629
TRIM2,GBM,3.68180895344517,2.62796933994629
TRIM2,BRCA,2.46110130330877,2.62796933994629
TRIM2,LAML,0.176322772640463,2.62796933994629
TRIM2,ACC,1.74846123300404,2.62796933994629
TRIM2,SARC,3.00180224263399,2.62796933994629
TRIM2,LUSC,2.82080769387938,2.62796933994629
TRIM2,CHOL,4.20006486151431,2.62796933994629
TRIM2,UVM,3.11769504266975,2.62796933994629
TRIM2,BLCA,2.59215800212536,2.62796933994629
TRIM2,UCEC,4.22419466397043,2.62796933994629
TRIM2,MESO,2.40871186102943,2.62796933994629
TRIM2,HNSC,2.060010047808,2.62796933994629
TRIM2,OV,3.55696742986892,2.62796933994629
TRIM2,THCA,2.4419570085946,2.62796933994629
TRIM2,PAAD,3.46005373608582,2.62796933994629
TRIM2,ESCA,3.45574992443055,2.62796933994629
TRIM2,COAD,4.43194011805412,2.62796933994629
TRIM22,LIHC,0.632268215499513,4.71739063754801
TRIM22,SKCM,1.99276843076892,4.71739063754801
TRIM22,PAAD,1.85283416235322,4.71739063754801
TRIM22,HNSC,3.97258700041758,4.71739063754801
TRIM22,BLCA,2.86393845042397,4.71739063754801
TRIM22,CHOL,2.6915341649192,4.71739063754801
TRIM22,LGG,5.0241423458978,4.71739063754801
TRIM22,TGCT,3.61738477001532,4.71739063754801
TRIM22,LUAD,0.641546029087524,4.71739063754801
TRIM22,BRCA,0.682566296726265,4.71739063754801
TRIM22,GBM,4.99172541542478,4.71739063754801
TRIM22,OV,1.98581315986917,4.71739063754801
TRIM22,PRAD,1.19534759832222,4.71739063754801
TRIM22,THCA,2.17942316530255,4.71739063754801
TRIM22,SARC,3.57893871309339,4.71739063754801
TRIM22,LAML,4.17232749165762,4.71739063754801
TRIM22,UCS,1.08197475202687,4.71739063754801
TRIM22,KICH,5.28503224962291,4.71739063754801
TRIM22,LUSC,0.426798253101256,4.71739063754801
TRIM22,KIRC,5.13791332208841,4.71739063754801
