name,tcga code,MedianExpression,VarianceExpression
MID2,HNSC,8.68347517810581,2.17690496614418
MID2,UCEC,7.29405896300509,2.17690496614418
MID2,LUSC,8.82451966177745,2.17690496614418
MID2,THCA,9.33759737373848,2.17690496614418
MID2,CHOL,8.32813183343655,2.17690496614418
MID2,THYM,7.81246851981585,2.17690496614418
MID2,OV,7.36315582895988,2.17690496614418
MID2,UCS,7.41012906768225,2.17690496614418
MID2,KIRC,8.89845627929579,2.17690496614418
MID2,STAD,7.72439143207019,2.17690496614418
MID2,PRAD,9.55890471939863,2.17690496614418
MID2,MESO,7.71212801172193,2.17690496614418
MID2,BLCA,8.10933442884457,2.17690496614418
MID2,LAML,3.98957972657023,2.17690496614418
MID2,PCPG,9.14179294967715,2.17690496614418
MID2,ACC,9.50219532680012,2.17690496614418
MID2,READ,6.45380562854078,2.17690496614418
MID2,PAAD,8.37384390753413,2.17690496614418
MID2,COAD,6.88374162704011,2.17690496614418
MID2,TGCT,6.69780704129865,2.17690496614418
MID2,DLBC,5.88451066817935,2.17690496614418
MID2,KICH,8.45598737750856,2.17690496614418
MID2,BRCA,9.15270820737262,2.17690496614418
MID2,CESC,8.16376276191302,2.17690496614418
RNF207,BRCA,6.80576966311735,2.16498644564397
RNF207,THYM,7.30287010326989,2.16498644564397
RNF207,PCPG,7.2614273857966,2.16498644564397
RNF207,SKCM,6.90023888773609,2.16498644564397
RNF207,HNSC,6.39714289225277,2.16498644564397
RNF207,UCS,7.03933582953543,2.16498644564397
RNF207,ESCA,8.00622790990788,2.16498644564397
RNF207,KIRC,7.41816464320372,2.16498644564397
RNF207,UVM,7.13440835969473,2.16498644564397
RNF207,DLBC,5.17407128226457,2.16498644564397
RNF207,MESO,8.1989164494441,2.16498644564397
RNF207,STAD,7.91939803100895,2.16498644564397
RNF207,LIHC,7.60311444977154,2.16498644564397
RNF207,LUSC,7.27534234570712,2.16498644564397
RNF207,BLCA,8.34463020034594,2.16498644564397
RNF207,LUAD,7.63412129522905,2.16498644564397
RNF207,COAD,6.82452549649211,2.16498644564397
RNF207,ACC,6.03013299194814,2.16498644564397
RNF207,KIRP,8.79261094544759,2.16498644564397
RNF207,CESC,8.1803532554351,2.16498644564397
RNF207,OV,8.18515286826695,2.16498644564397
RNF207,READ,6.83896436905484,2.16498644564397
RNF207,GBM,4.35478238103187,2.16498644564397
RNF207,KICH,7.64891048628055,2.16498644564397
RNF207,LGG,5.3647790170369,2.16498644564397
RNF207,LAML,4.69384425558088,2.16498644564397
RNF207,PRAD,7.27987982804992,2.16498644564397
RNF207,PAAD,8.28600510105423,2.16498644564397
RNF207,THCA,7.33063906536615,2.16498644564397
RNF207,UCEC,7.83322188399291,2.16498644564397
RNF207,CHOL,8.61072030213009,2.16498644564397
RNF207,TGCT,6.56356284499821,2.16498644564397
RNF207,SARC,6.21805653907542,2.16498644564397
TRIM15,ACC,0,11.8152854018184
TRIM15,BRCA,0,11.8152854018184
TRIM15,OV,2.34052383093115,11.8152854018184
TRIM15,SARC,0,11.8152854018184
TRIM15,LGG,0,11.8152854018184
TRIM15,LIHC,8.12716379098296,11.8152854018184
TRIM15,ESCA,5.70118416421687,11.8152854018184
TRIM15,THYM,1.50201750812541,11.8152854018184
TRIM15,THCA,0,11.8152854018184
TRIM15,KIRP,7.56948996902575,11.8152854018184
TRIM15,STAD,8.28908195771898,11.8152854018184
TRIM15,GBM,0,11.8152854018184
TRIM15,READ,8.97248920881173,11.8152854018184
TRIM15,CESC,3.51768465295617,11.8152854018184
TRIM15,LAML,1.94481218202069,11.8152854018184
TRIM15,MESO,0,11.8152854018184
TRIM15,DLBC,0,11.8152854018184
TRIM15,SKCM,0,11.8152854018184
TRIM15,HNSC,1.54458200717459,11.8152854018184
